Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Schnaser, Aron House Committee",19021,DFL,House,7A,2023-10-02 08:17:00.000,,0,"Schnaser, Aron",7A,House
"Repinski, Aaron House Committee",19019,RPM,House,26A,2023-09-25 08:58:00.000,,0,"Repinski, Aaron",26A,House
"Wroblewski, Lucia House Committee",19018,DFL,House,41A,2023-09-19 14:11:00.000,,0,"Wroblewski, Lucia",41A,House
"Daisane, Abdi House Committee",19012,DFL,House,14A,2023-08-30 08:16:00.000,,0,"Daisane, Abdi",14A,House
"Cohn, Brian House Committee",19008,DFL,House,57B,2023-08-24 09:06:00.000,,0,"Cohn, Brian",57B,House
"Steffenhagen, Caleb House Committee",19007,RPM,House,48B,2023-08-08 15:36:00.000,,0,"Steffenhagen, Caleb",48B,House
"Dorau, Dwight House Committee",19006,RPM,House,47B,2023-05-19 13:43:00.000,,0,"Dorau, Dwight",47B,House
"Rehrauer, Kari House Committee",19005,DFL,House,35B,2023-05-01 16:08:00.000,,0,"Rehrauer, Kari",35B,House
"Hutchinson, Michael House Committee",19004,DFL,House,20B,2023-02-22 14:07:00.000,,0,"Hutchinson, Michael",20B,House
"Boyechko, Michelle Senate Committee",19003,DFL,Senate,11,2022-08-19 08:34:00.000,,0,"Boyechko, Michelle",11,Senate
"Bird, Victoria Ann Senate Committee",19001,DFL,Senate,28,2022-07-18 15:54:00.000,,0,"Bird, Victoria Ann",28,Senate
"Hawthorne, Trenton TJ House Committee",19000,LPM,House,44B,2022-07-18 11:21:00.000,,0,"Hawthorne, Trenton TJ",44B,House
"Peichel, Jeremy Senate Committee",18999,LPM,Senate,66,2022-07-15 13:36:00.000,,0,"Peichel, Jeremy",66,Senate
"Sceville, James House Committee",18998,DFL,House,1A,2022-07-13 08:54:00.000,,0,"Sceville, James",1A,House
"Pinkney, (Walter) Alex House Committee",18997,RPM,House,44A,2022-07-11 10:59:00.000,,0,"Pinkney, (Walter) Alex",44A,House
"Murray, Mikki Senate Committee",18996,RPM,Senate,66,2022-07-11 10:40:00.000,,0,"Murray, Mikki",66,Senate
"Doerr, Stephen House Committee",18995,RPM,House,26A,2022-07-07 12:11:00.000,,0,"Doerr, Stephen",26A,House
"Vanoverbeke, Keith House Committee",18993,DFL,House,15A,2022-07-05 09:00:00.000,,0,"Vanoverbeke, Keith",15A,House
"Pulham, Katrina House Committee",18991,RPM,House,24B,2022-07-01 17:12:00.000,,0,"Pulham, Katrina",24B,House
"Scott, Ulric ""Todd"" C III Senate Committee",18992,DFL,Senate,63,2022-07-01 08:47:00.000,,0,"Scott, Ulric ""Todd"" C, III",63,Senate
"Kells, Nathan House Committee",18988,DFL,House,48A,2022-06-30 13:38:00.000,,0,"Kells, Nathan",48A,House
"Hobot, Chad T House Committee",18986,DFL,House,30B,2022-06-27 11:01:00.000,,0,"Hobot, Chad",30B,House
"Nguyen, Diane Senate Committee",18985,DFL,Senate,30,2022-06-27 10:45:00.000,,0,"Nguyen, Diane",30,Senate
"Fisher, Bill House Committee",18984,DFL,House,31B,2022-06-27 09:17:00.000,,0,"Fisher, Bill",31B,House
"Lawhead, Brandon Senate Committee",18983,DFL,Senate,23,2022-06-27 09:08:00.000,,0,"Lawhead, Brandon",23,Senate
"Paulsen, Darrell Gov Committee",18982,GRP,Governor,,2022-06-23 15:17:00.000,,0,"Paulsen, Darrell",,GC
"Bromenschenkel, Melissa House Committee",18981,DFL,House,13B,2022-06-23 08:50:00.000,,0,"Bromenschenkel, Melissa",13B,House
"Heidelberger, Michael House Committee",18979,DFL,House,21B,2022-06-22 13:52:00.000,,0,"Heidelberger, Michael",21B,House
"Robinson, John Joseph House Committee",18978,RPM,House,25B,2022-06-21 13:14:00.000,,0,"Robinson, John Joseph",25B,House
"Hughes, Dave Senate Committee",18977,RPM,Senate,1,2022-06-20 15:00:00.000,,0,"Hughes, Dave",1,Senate
"Baustian, Patrick House Committee",18976,DFL,House,21A,2022-06-20 10:15:00.000,,0,"Baustian, Patrick",21A,House
"McLain, Keith House Committee",18974,DFL,House,24A,2022-06-17 12:41:00.000,,0,"McLain, Keith",24A,House
"Beebe, Beth House Committee",18973,RPM,House,50B,2022-06-16 15:14:00.000,,0,"Beebe, Beth",50B,House
"Gaul, Anita Senate Committee",18972,DFL,Senate,15,2022-06-16 14:52:00.000,,0,"Gaul, Anita",15,Senate
"Schmitz, Andrew Senate Committee",18971,RPM,Senate,62,2022-06-16 13:48:00.000,,0,"Schmitz, Andrew",62,Senate
"Babin, Paul Senate Committee",18969,RPM,Senate,44,2022-06-16 10:28:00.000,,0,"Babin, Paul",44,Senate
"Halmrast, Lynn House Committee",18968,RPM,House,4A,2022-06-15 09:34:00.000,,0,"Halmrast, Lynn",4A,House
"Cekalla, Suzanne M Senate Committee",18967,DFL,Senate,10,2022-06-15 09:27:00.000,,0,"Cekalla, Suzanne M",10,Senate
"Sylvester, Rod House Committee",18966,RPM,House,39A,2022-06-15 09:17:00.000,,0,"Sylvester, Rod",39A,House
"Leitzen, Eric Senate Committee",18964,LMP,Senate,26,2022-06-13 13:25:00.000,,0,"Leitzen, Eric",26,Senate
"Kruse, Todd House Committee",18962,RPM,House,53A,2022-06-13 09:39:00.000,,0,"Kruse, Todd",53A,House
"Johnson, Blain House Committee",18961,RPM,House,3A,2022-06-13 09:32:00.000,,0,"Johnson, Blain",3A,House
"Hillen, Paul Senate Committee",18960,RPM,Senate,42,2022-06-13 09:28:00.000,,0,"Hillen, Paul",42,Senate
"Froelich, Hunter House Committee",18959,DFL,House,10B,2022-06-10 14:06:00.000,,0,"Froelich, Hunter",10B,House
"Johnson, Trace House Committee",18957,RPM,House,66A,2022-06-10 10:04:00.000,,0,"Johnson, Trace",66A,House
"Kittelson, Roger House Committee",18956,IPMN,House,20A,2022-06-10 09:53:00.000,,0,"Kittelson, Roger",20A,House
"Sharp, Mike House Committee",18954,RPM,House,39B,2022-06-09 15:00:00.000,,0,"Sharp, Mike",39B,House
"Wenzel, Steve Senate Committee",18953,RPM,Senate,10,2022-06-09 13:36:00.000,,0,"Wenzel, Steve",10,Senate
"Burkett, Kathy House Committee",18952,RPM,House,42A,2022-06-09 09:09:00.000,,0,"Burkett, Kathy",42A,House
"Hendrickson, Gregg House Committee",18950,IPMN,House,5B,2022-06-08 10:52:00.000,,0,"Hendrickson, Gregg",5B,House
"Jost, Nancy House Committee",18949,DFL,House,9A,2022-06-08 10:44:00.000,,0,"Jost, Nancy",9A,House
"Vosburg, Dar House Committee",18947,RPM,House,18B,2022-06-07 12:29:00.000,,0,"Vosburg, Dar",18B,House
"Swoboda, Steven House Committee",18946,RPM,House,53B,2022-06-07 10:14:00.000,,0,"Swoboda, Steven",53B,House
"Bohmer, Dan Senate Committee",18945,RPM,Senate,4,2022-06-07 09:59:00.000,,0,"Bohmer, Dan",4,Senate
"Ruffalo, Jason Senate Committee",18941,DFL,Senate,31,2022-06-03 14:45:00.000,,0,"Ruffalo, Jason",31,Senate
"Ulmen, Marisa House Committee",18939,DFL,House,22A,2022-06-02 14:25:00.000,,0,"Ulmen, Marisa",22A,House
"Schroeder, Jackie House Committee",18938,RPM,House,42B,2022-06-02 14:18:00.000,,0,"Schroeder, Jackie",42B,House
"Wolf, Pam Senate Committee",18936,RPM,Senate,39,2022-06-01 10:07:00.000,,0,"Wolf, Pam",39,Senate
"Blake, Richard House Committee",18935,DFL,House,6A,2022-06-01 08:53:00.000,,0,"Blake, Richard",6A,House
"Buckmeier, Sonja House Committee",18934,DFL,House,30A,2022-05-31 14:11:00.000,,0,"Buckmeier, Sonja",30A,House
"O'Berry, Betsy House Committee",18933,DFL,House,31A,2022-05-31 14:05:00.000,,0,"O'Berry, Betsy",31A,House
"Fulton, Douglas Senate Committee",18932,RPM,Senate,50,2022-05-31 09:45:00.000,,0,"Fulton, Douglas",50,Senate
"Minzel, Emy Senate Committee",18931,DFL,Senate,27,2022-05-31 09:41:00.000,,0,"Minzel, Emy",27,Senate
"Chase, Ryan House Committee",18930,RPM,House,49A,2022-05-27 15:16:00.000,,0,"Chase, Ryan",49A,House
"Navitsky, Ken Senate Committee",18928,RPM,Senate,25,2022-05-27 14:48:00.000,,0,"Navitsky, Ken",25,Senate
"Wilson, Daniel Senate Committee",18927,DFL,Senate,26,2022-05-26 15:39:00.000,,0,"Wilson, Daniel",26,Senate
"Hobson, Brian House Committee",18926,DFL,House,5A,2022-05-26 09:11:00.000,,0,"Hobson, Brian",5A,House
"Thiessen, Ronald House Committee",18925,DFL,House,27A,2022-05-26 08:55:00.000,,0,"Thiessen, Ronald",27A,House
"Robinson, Andrea House Committee",18922,DFL,House,13A,2022-05-23 11:46:00.000,,0,"Robinson, Andrea",13A,House
"Savior, Ole Gov Committee",18921,DFL,Governor,,2022-05-23 11:41:00.000,,0,"Savior, Ole",,GC
"Pafko, Frank Senate Committee",18920,RPM,Senate,51,2022-05-23 11:37:00.000,,0,"Pafko, Frank",51,Senate
"Boos, Sally House Committee",18923,DFL,House,6B,2022-05-20 13:04:00.000,,0,"Boos, Sally",6B,House
"Wright, Mark Senate Committee",18919,RPM,Senate,18,2022-05-20 11:30:00.000,,0,"Wright, Mark",18,Senate
"Skraba, Roger Joseph House Committee",18918,RPM,House,3A,2022-05-18 13:29:00.000,,1,"Skraba, Roger Joseph",3A,House
"Kupec, Rob Senate Committee",18917,DFL,Senate,4,2022-05-17 14:24:00.000,,1,"Kupec, Rob",4,Senate
"Dungy, Steve House Committee",18915,DFL,House,58B,2022-05-16 09:49:00.000,,0,"Dungy, Steve",58B,House
"Henning, Aaron House Committee",18913,RPM,House,14B,2022-05-10 09:16:00.000,,0,"Henning, Aaron",14B,House
"Johnson, Kelsey Senate Committee",18912,RPM,Senate,3,2022-05-09 09:40:00.000,,0,"Johnson, Kelsey",3,Senate
"Lieske, Bill Senate Committee",18910,RPM,Senate,58,2022-05-05 13:44:00.000,,1,"Lieske, Bill",58,Senate
"Gillman, Dawn House Committee",18908,RPM,House,17A,2022-05-05 09:25:00.000,,1,"Gillman, Dawn",17A,House
"Satter, Jason House Committee",18907,DFL,House,9B,2022-05-04 11:50:00.000,,0,"Satter, Jason",9B,House
"Carroll, Ned House Committee",18906,DFL,House,42A,2022-04-29 13:12:00.000,,1,"Carroll, Ned",42A,House
"Bakeberg, Ben House Committee",18905,RPM,House,54B,2022-04-28 08:19:00.000,,1,"Bakeberg, Ben",54B,House
"Radosevich, Pete House Committee",18904,DFL,House,11A,2022-04-26 11:00:00.000,,0,"Radosevich, Pete",11A,House
"Kern, Douglas J House Committee",18902,RPM,House,6B,2022-04-25 14:38:00.000,,0,"Kern, Douglas J",6B,House
"Boldon, Liz Senate Committee",18901,DFL,Senate,25,2022-04-25 09:24:00.000,,1,"Boldon, Liz",25,Senate
"Walsh, Dan House Committee",18899,RPM,House,64A,2022-04-22 09:47:00.000,,0,"Walsh, Dan",64A,House
"wiener, michael House Committee",18897,RPM,House,5B,2022-04-20 10:23:00.000,,1,"wiener, michael",5B,House
"Phillips, Wendy House Committee",18896,RPM,House,25A,2022-04-20 10:00:00.000,,0,"Phillips, Wendy",25A,House
"Theis, Tama Lynn Senate Committee",18895,RPM,Senate,14,2022-04-20 09:45:00.000,,0,"Theis, Tama Lynn",14,Senate
"Hinnenkamp, Mary House Committee",18894,DFL,House,23A,2022-04-20 09:16:00.000,,0,"Hinnenkamp, Mary",23A,House
"landru, joseph House Committee",18892,RPM,House,56A,2022-04-12 12:34:00.000,,0,"landru, joseph",56A,House
"Harder, Bobbie House Committee",18891,RPM,House,17B,2022-04-12 08:36:00.000,,1,"Harder, Bobbie",17B,House
"Kohler, Brad Senate Committee",18889,RPM,Senate,38,2022-04-11 13:45:00.000,,0,"Kohler, Brad",38,Senate
"Khalif, Farhio Senate Committee",18888,DFL,Senate,37,2022-04-08 14:35:00.000,,0,"Khalif, Farhio",37,Senate
"Bruggenthies, Gary House Committee",18887,RPM,House,58A,2022-04-08 12:49:00.000,,0,"Bruggenthies, Gary",58A,House
"Kozlowski, Alicia House Committee",18886,DFL,House,8B,2022-04-07 14:39:00.000,,1,"Kozlowski, Alicia",8B,House
"Rausch, Christopher Senate Committee",18885,RPM,Senate,53,2022-04-07 14:34:00.000,,0,"Rausch, Christopher",53,Senate
"Strom, Susan Ranae House Committee",18884,DFL,House,36A,2022-04-06 14:30:00.000,,0,"Strom, Susan Ranae",36A,House
"Lowell, Stephen Senate Committee",18881,RPM,Senate,52,2022-04-06 08:57:00.000,,0,"Lowell, Stephen",52,Senate
"Wiens, Mark House Committee",18879,RPM,House,41A,2022-04-05 15:15:00.000,,1,"Wiens, Mark",41A,House
"Stinson, Laurel House Committee",18877,DFL,House,20A,2022-04-04 10:16:00.000,,0,"Stinson, Laurel",20A,House
"Olson, Reed House Committee",18876,DFL,House,2A,2022-04-04 08:35:00.000,,0,"Olson, Reed",2A,House
"Perryman, Bernadette Ann House Committee",18875,RPM,House,14A,2022-04-01 15:33:00.000,,1,"Perryman, Bernadette Ann",14A,House
"Cha, Ethan House Committee",18874,DFL,House,47B,2022-04-01 13:41:00.000,,1,"Cha, Ethan",47B,House
"Hauschild, Grant Senate Committee",18873,DFL,Senate,3,2022-04-01 09:53:00.000,,1,"Hauschild, Grant",3,Senate
"Barnes, Natalie Senate Committee",18872,RPM,Senate,54,2022-03-31 11:04:00.000,,0,"Barnes, Natalie",54,Senate
"Knecht, Thomas House Committee",18869,RPM,House,49B,2022-03-29 13:24:00.000,,0,"Knecht, Thomas",49B,House
"Cousineau, Lorie House Committee",18868,RPM,House,45B,2022-03-29 09:04:00.000,,0,"Cousineau, Lorie",45B,House
"Bean III, Jim Senate Committee",18867,RPM,Senate,56,2022-03-28 13:08:00.000,,0,"Bean III, Jim",56,Senate
"Shen, Allen House Committee",18865,RPM,House,40B,2022-03-28 08:54:00.000,,0,"Shen, Allen",40B,House
"Bahr, Calvin (Cal) K Senate Committee",18864,RPM,Senate,31,2022-03-28 08:40:00.000,,1,"Bahr, Calvin (Cal) K",31,Senate
"Zupancich, Andrea Senate Committee",18863,RPM,Senate,3,2022-03-28 08:31:00.000,,0,"Zupancich, Andrea",3,Senate
"Witte, Jeff House Committee",18862,RPM,House,57B,2022-03-25 15:20:00.000,,1,"Witte, Jeff",57B,House
"Bailey-Johnson, Erika House Committee",18860,DFL,House,2B,2022-03-25 08:48:00.000,,0,"Bailey-Johnson, Erika",2B,House
"Holster, Shawn Senate Committee",18858,RPM,Senate,63,2022-03-24 14:54:00.000,,0,"Holster, Shawn",63,Senate
"Ellison, Breanna House Committee",18857,DFL,House,8B,2022-03-24 09:38:00.000,,0,"Ellison, Breanna",8B,House
"Curran, Brion House Committee",18855,DFL,House,36B,2022-03-23 15:05:00.000,,1,"Curran, Brion",36B,House
"Kroetch, Gabriela House Committee",18853,RPM,House,55A,2022-03-23 09:26:00.000,,0,"Kroetch, Gabriela",55A,House
"Bristol, John House Committee",18852,RPM,House,37B,2022-03-22 09:02:00.000,,0,"Bristol, John",37B,House
"Grabau, Clarice Senate Committee",18851,DFL,Senate,58,2022-03-21 15:38:00.000,,0,"Grabau, Clarice",58,Senate
"Newberger, James Senate Committee",18850,RPM,Senate,10,2022-03-21 14:24:00.000,,0,"Newberger, James",10,Senate
"Matteson, Polly House Committee",18847,RPM,House,35B,2022-03-21 08:11:00.000,,0,"Matteson, Polly",35B,House
"Seeberger, Judy Senate Committee",18845,DFL,Senate,41,2022-03-18 14:49:00.000,,1,"Seeberger, Judy",41,Senate
"Kessler, Dan Senate Committee",18841,DFL,Senate,48,2022-03-17 15:41:00.000,,0,"Kessler, Dan",48,Senate
"Abdalla, Abdulkadir House Committee",18839,DFL,House,25B,2022-03-17 14:17:00.000,,0,"Abdalla, Abdulkadir",25B,House
"Owens, Jen House Committee",18838,DFL,House,47A,2022-03-17 10:16:00.000,,0,"Owens, Jen",47A,House
"Hudella, Shane House Committee",18837,RPM,House,41B,2022-03-16 08:42:00.000,,1,"Hudella, Shane",41B,House
"Zeleznikar, Natalie House Committee",18835,RPM,House,3B,2022-03-14 15:22:00.000,,1,"Zeleznikar, Natalie",3B,House
"Fowke, Kathleen Senate Committee",18834,RPM,Senate,45,2022-03-14 14:48:00.000,,0,"Fowke, Kathleen",45,Senate
"Smith, Andy House Committee",18833,DFL,House,25B,2022-03-14 10:34:00.000,,1,"Smith, Andy",25B,House
"Bradford, Chuck House Committee",18832,RPM,House,24A,2022-03-14 10:30:00.000,,0,"Bradford, Chuck",24A,House
"Hanson, Lisa (Melissa) Senate Committee",18831,RPM,Senate,23,2022-03-14 10:19:00.000,,0,"Hanson, Lisa (Melissa)",23,Senate
"Nadeau, Danny House Committee",18830,RPM,House,34A,2022-03-14 10:12:00.000,,1,"Nadeau, Danny",34A,House
"Lenz, Paul House Committee",18829,RPM,House,21B,2022-03-14 09:54:00.000,,0,"Lenz, Paul",21B,House
"Fogelman, Marj House Committee",18826,RPM,House,21B,2022-03-09 16:18:00.000,,1,"Fogelman, Marj",21B,House
"Lawrence, Bob House Committee",18825,RPM,House,47A,2022-03-09 09:45:00.000,,0,"Lawrence, Bob",47A,House
"Knisely, Tom Senate Committee",18823,RPM,Senate,32,2022-03-08 10:55:00.000,,0,"Knisely, Tom",32,Senate
"Davis, Ben House Committee",18822,RPM,House,6A,2022-03-08 08:46:00.000,,1,"Davis, Ben",6A,House
"Farnsworth, Robert Senate Committee",18821,RPM,Senate,7,2022-03-08 08:38:00.000,,1,"Farnsworth, Robert",7,Senate
"Driscoll, Patricia House Committee",18820,DFL,House,41A,2022-03-07 15:37:00.000,,0,"Driscoll, Patricia",41A,House
"Kreun, Michael Senate Committee",18819,RPM,Senate,32,2022-03-07 10:56:00.000,,1,"Kreun, Michael",32,Senate
"Murphy, Tom House Committee",18818,RPM,House,9B,2022-03-07 10:18:00.000,,1,"Murphy, Tom",9B,House
"Coulter, Nathan House Committee",18817,DFL,House,51B,2022-03-07 10:09:00.000,,1,"Coulter, Nathan",51B,House
"Clardy, Mary Frances House Committee",18815,DFL,House,53A,2022-03-07 09:33:00.000,,1,"Clardy, Mary Frances",53A,House
"Jensen, Joseph Senate Committee",18814,DFL,Senate,37,2022-03-07 09:19:00.000,,0,"Jensen, Joseph",37,Senate
"Newton, Jerry House Committee",18813,DFL,House,35B,2022-03-04 14:05:00.000,,1,"Newton, Jerry",35B,House
"Mitchell, Carrie House Committee",18812,DFL,House,33B,2022-03-04 13:03:00.000,,0,"Mitchell, Carrie",33B,House
"Morrison, Kelly Senate Committee",18809,DFL,Senate,45,2022-03-04 08:54:00.000,,1,"Morrison, Kelly",45,Senate
"Finke, Leigh House Committee",18807,DFL,House,66A,2022-03-03 09:22:00.000,,1,"Finke, Leigh",66A,House
"Widmer, Joseph ""Joe"" House Committee",18805,DFL,House,33B,2022-03-02 09:46:00.000,,0,"Widmer, Joseph ""Joe""",33B,House
"Monson, Sheldon House Committee",18804,RPM,House,5B,2022-03-02 09:33:00.000,,0,"Monson, Sheldon",5B,House
"Pascoe, Kayla House Committee",18803,RPM,House,17B,2022-03-02 09:13:00.000,,0,"Pascoe, Kayla",17B,House
"Myhra, Pam Senate Committee",18801,RPM,Senate,55,2022-03-02 08:45:00.000,,0,"Myhra, Pam",55,Senate
"Roy, Leonard Alan Senate Committee",18800,DFL,Senate,2,2022-03-01 14:54:00.000,,0,"Roy, Leonard Alan",2,Senate
"Jacob, Steven E House Committee",18799,RPM,House,20B,2022-02-28 09:23:00.000,,1,"Jacob, Steven E",20B,House
"Valento, Hanna House Committee",18798,DFL,House,33A,2022-02-28 09:15:00.000,,0,"Valento, Hanna",33A,House
"Hudson, Walter House Committee",18797,RPM,House,30A,2022-02-25 15:55:00.000,,1,"Hudson, Walter",30A,House
"Kraft, Larry House Committee",18796,DFL,House,46A,2022-02-25 15:33:00.000,,1,"Kraft, Larry",46A,House
"Gruenhagen, Glenn Senate Committee",18795,RPM,Senate,17,2022-02-25 15:09:00.000,,1,"Gruenhagen, Glenn H",17,Senate
"Rehm, Lucy House Committee",18794,DFL,House,48B,2022-02-25 14:53:00.000,,1,"Rehm, Lucy",48B,House
"Mann, Alice Senate Committee",18793,DFL,Senate,50,2022-02-25 14:44:00.000,,1,"Mann, Alice",50,Senate
"Green, Steve Senate Committee",18792,RPM,Senate,2,2022-02-25 11:58:00.000,,1,"Green, Steve",2,Senate
"Cordes, Jake Senate Committee",18791,RPM,Senate,58,2022-02-25 09:39:00.000,,0,"Cordes, Jake",58,Senate
"Japuntich, Rachel Senate Committee",18788,RPM,Senate,40,2022-02-24 08:52:00.000,,0,"Japuntich, Rachel",40,Senate
"Joy, Jim House Committee",18787,RPM,House,4B,2022-02-24 08:48:00.000,,1,"Joy, Jim",4B,House
"Schultz, Isaac House Committee",18786,RPM,House,10B,2022-02-24 08:43:00.000,,1,"Schultz, Isaac",10B,House
"Knudsen, Krista L House Committee",18785,RPM,House,5A,2022-02-23 15:53:00.000,,1,"Knudsen, Krista L",5A,House
"Paulson, Blake House Committee",18784,RPM,House,10B,2022-02-23 15:06:00.000,,0,"Paulson, Blake",10B,House
"Gustafson, Heather Senate Committee",18781,DFL,Senate,36,2022-02-23 13:03:00.000,,1,"Gustafson, Heather",36,Senate
"Bresnahan, Lauren House Committee",18779,DFL,House,45A,2022-02-23 08:46:00.000,,0,"Bresnahan, Lauren",45A,House
"Wesenberg, Nathanial L Senate Committee",18778,RPM,Senate,10,2022-02-23 08:24:00.000,,1,"Wesenberg, Nathanial L",10,Senate
"Lucero, Eric Senate Committee",18777,RPM,Senate,30,2022-02-23 08:14:00.000,,1,"Lucero, Eric",30,Senate
"HILL, JOSIAH House Committee",18776,DFL,House,33B,2022-02-22 13:56:00.000,,1,"Hill, Josiah ",33B,House
"Fenton, Kelly House Committee",18775,RPM,House,47B,2022-02-22 13:00:00.000,,0,"Fenton, Kelly",47B,House
"Sims, David Senate Committee",18774,RPM,Senate,7,2022-02-22 10:45:00.000,,0,"Sims, David",7,Senate
"Niska, Harry House Committee",18773,RPM,House,31A,2022-02-22 10:12:00.000,,1,"Niska, Harry",31A,House
"Sencer-Mura, Samantha House Committee",18768,DFL,House,63A,2022-02-17 09:37:00.000,,1,"Sencer-Mura, Samantha",63A,House
"Hussein, Samakab House Committee",18767,DFL,House,65A,2022-02-15 16:08:00.000,,1,"Hussein, Samakab",65A,House
"Verbeten, Clare Oumou Senate Committee",18766,DFL,Senate,66,2022-02-15 13:23:00.000,,1,"Verbeten, Clare Oumou",66,Senate
"Drazkowski, Steve Senate Committee",18763,RPM,Senate,20,2022-02-07 11:15:00.000,,1,"Drazkowski, Steve",20,Senate
"Altendorf, Pamela House Committee",18760,RPM,House,20A,2022-02-02 09:01:00.000,,1,"Altendorf, Pamela",20A,House
"Hest, John House Committee",18756,DFL,House,4B,2022-01-28 14:27:00.000,,0,"Hest, John",4B,House
"Craig, Jackie Senate Committee",18754,DFL,Senate,57,2022-01-28 11:46:00.000,,0,"Craig, Jackie",57,Senate
"Rasmusson, Jordan Senate Committee",18749,RPM,Senate,9,2022-01-21 09:43:00.000,,1,"Rasmusson, Jordan",9,Senate
"Pérez-Vega, María House Committee",18746,DFL,House,65B,2022-01-19 08:24:00.000,,1,"Pérez-Vega, María",65B,House
"Pursell, Kristi House Committee",18744,DFL,House,58A,2022-01-13 09:33:00.000,,1,"Pursell, Kristi",58A,House
